,...1,country,continent,area_in_pa_cat_1,area_in_pa_cat_2,area_in_pa_cat_3,area_in_pa_cat_4,total_pa_area,area_in_country_cat_1,area_in_country_cat_2,area_in_country_cat_3,area_in_country_cat_4,total_country_area,,y,x
60,1,Turkmenistan,Asia,0,0,11825.60935,844.4559635,13935.95626,0,0,292300.5625,56761.57813,469786.9688,,0.06059548,0.12082408
52,1,Turks and Caicos Islands,North America,0,0,2.703275543,0,2.980154,0,0,197.1329498,0,285.686554,,0,0
63,1,Uganda,Africa,0,-1.43E+37,24407.97278,17902.12107,43695.45758,0,0,43833.23828,160229.6875,242072.2813,,0.409702108,0.661908446
65,1,Ukraine,Europe,0,0,2904.70608,19771.94285,23780.73988,0,0,8710.560547,571840.25,594094.6875,,0.831426732,0.962540588
64,1,United Kingdom,Europe,0,-1.79E+39,32629.4625,66521.97302,104026.9344,0,0,34684.10547,199786.0625,242744.9688,,0.639468743,0.823028644
66,1,United States,North America,-3.32E+38,-1.59E+40,393393.7754,111630.2729,1391682.74,0,0,3647769.75,3566056.5,9421777,,0.080212443,0.378490862
68,1,Uruguay,South America,0,0,4103.618663,489.1819769,6568.164628,0,0,110240.2891,28320.86719,177337.7969,,0.074477728,0.159700119
69,1,Uzbekistan,Asia,0,0,8007.25843,6772.64217,21483.06137,0,0,172875.2188,163920,444626,,0.315254984,0.368669399
30,1,Vanuatu,Oceania,0,0,177.5303127,47.04889762,429.9146028,-3.40E+38,0,3434.092529,945.2042847,12255.00195,,0.109437775,0.07712804
71,1,Venezuela,South America,0,-6.53E+38,115928.7732,75290.86924,778724.3758,0,0,279974.4688,154720.7344,910699.9375,,0.096684875,0.16989211
74,1,Vietnam,Asia,0,-9.44E+37,17224.83651,23653.34455,45052.39619,0,0,52184.25,258974.0313,323948.5313,,0.525018568,0.799429558
75,1,Virgin Islands,North America,0,0,0,0.375857377,1.079243677,0,0,0,189.468277,218.0441895,,0.348259976,0.868944398
77,1,West Bank,Africa,0,0,0,590.2383475,590.4546825,0,0,0,5674.820313,5864.784668,,0.999633613,0.967609321
78,1,Western Sahara,Oceania,0,0,217.1874794,59.40912294,295.160495,0,0,19320.38867,2835.753418,268507.25,,0.201277352,0.01056118
79,1,Western Samoa,Asia,0,0,131.6511459,68.23891111,225.1819449,0,0,931.3378296,1406.002686,2935.926514,,0.303038999,0.478895735
100,1,Zaire,Africa,0,0,128159.1111,28677.63061,429063.5776,0,0,1094970.25,365737.5625,2326467,,0.066837718,0.157207286
82,1,Zambia,Africa,0,-5.76E+38,184493.035,27323.14075,316888.8734,0,0,445157.8438,164394.7969,751499.8125,,0.086223099,0.218755606
83,1,Zimbabwe,Africa,0,-3.47E+36,81470.82607,21331.51279,114303.6495,0,0,196311.3906,180725.9688,389445.6563,,0.18662145,0.464059531
,,,,,,,,,,,,,,,0.390110668,0.515416249
