,...1,country,continent,urban_and_agri_area_country_cat_1,urban_and_agri_area_country_cat_2,urban_and_agri_area_country_cat_3,urban_and_agri_area_country_cat_4,urban_area_in_country_cat_1,urban_area_in_country_cat_2,urban_area_in_country_cat_3,urban_area_in_country_cat_4,agri_area_in_country_cat_1,agri_area_in_country_cat_2,agri_area_in_country_cat_3,agri_area_in_country_cat_4,total_country_area,,y,x,
139,1,Malta,Europe,NA,NA,NA,25.99242401,NA,NA,NA,231.087677,NA,NA,NA,30.80840111,293.3856812,,0.843679746,0.088594726,0.787658334
140,1,"Man, Isle of",Europe,NA,NA,NA,117.4068832,NA,NA,NA,536.1055908,NA,NA,NA,120.2835083,614.0003052,,0.976084626,0.191216327,0.873135707
142,1,Martinique,North America,NA,NA,NA,703.3848267,NA,NA,NA,991.1213989,NA,NA,NA,718.1914673,1147.231323,,0.979383436,0.613115082,0.863924632
143,1,Mauritania,Africa,NA,NA,NA,14364.16504,NA,NA,NA,35564.66797,NA,NA,NA,70218.42969,1037214.5,,0.204564031,0.013848789,0.034288634
144,1,Mauritius,Africa,NA,NA,NA,605.7851563,NA,NA,NA,1879.026245,NA,NA,NA,629.6338501,2142.428467,,0.962122917,0.282756305,0.877054368
145,1,Mayotte,Africa,NA,NA,NA,240.5036774,NA,NA,NA,310.5368652,NA,NA,NA,248.5685577,435.0809937,,0.967554705,0.552779094,0.713744957
146,1,Mexico,North America,NA,NA,NA,311170.9688,NA,NA,NA,645719.5,NA,NA,NA,712817.625,1953585.75,,0.436536581,0.159281961,0.330530411
148,1,Moldova,Europe,NA,NA,NA,2858.149414,NA,NA,NA,33184.73047,NA,NA,NA,3050.741699,33505.94922,,0.93687034,0.085302744,0.990413083
149,1,Monaco,Europe,NA,NA,NA,2.204575062,NA,NA,NA,9.226138115,NA,NA,NA,2.204572201,9.226259232,,1.000001298,0.23894571,0.999986873
150,1,Mongolia,Asia,NA,NA,NA,29801.53516,NA,NA,NA,65175.77344,NA,NA,NA,480794.25,1554627.5,,0.061983967,0.019169566,0.041923723
151,1,Montenegro,Europe,NA,NA,NA,7709.711914,NA,NA,NA,10343.7168,NA,NA,NA,10322.15332,13732.83691,,0.746909262,0.561407083,0.753210489
152,1,Montserrat,North America,NA,NA,NA,0.61077559,NA,NA,NA,0.972872078,NA,NA,NA,76.37379456,112.4758911,,0.007997188,0.00543028,0.008649605
153,1,Morocco,Africa,NA,NA,NA,104244.6172,NA,NA,NA,226937.2188,NA,NA,NA,134573.6719,402112.5938,,0.774628616,0.259242359,0.564362376
154,1,Mozambique,Africa,NA,NA,NA,177883.7031,NA,NA,NA,288628.125,NA,NA,NA,431941.4375,785582.125,,0.411823659,0.226435528,0.367406686
155,1,Myanmar (Burma),Asia,NA,NA,NA,86394.64844,NA,NA,NA,284901.5625,NA,NA,NA,276233.0625,666176.5,,0.312759985,0.129687325,0.427666786
156,1,Namibia,Africa,NA,NA,NA,15967.20801,NA,NA,NA,56916.37891,NA,NA,NA,161460.2344,822436.375,,0.098892511,0.019414521,0.069204598
157,1,Nauru,Oceania,NA,NA,NA,0.474868178,NA,NA,NA,16.37908173,NA,NA,NA,1.329630136,27.16329384,,0.357143062,0.017481981,0.602985847
158,1,Nepal,Asia,NA,NA,NA,35190.75781,NA,NA,NA,77886.46094,NA,NA,NA,65828.6875,146831.7969,,0.534580882,0.239667147,0.530446828
159,1,Netherlands,Europe,NA,NA,NA,9896.77832,NA,NA,NA,33294.24609,NA,NA,NA,10294.21289,35344.08984,,0.961392428,0.280012256,0.94200321
160,1,Netherlands Antilles,North America,NA,NA,NA,435.0955811,NA,NA,NA,595.3178711,NA,NA,NA,460.3710632,788.2997437,,0.945097587,0.551941802,0.755192268
161,1,New Caledonia,Oceania,NA,NA,NA,1194.684082,NA,NA,NA,2052.218018,NA,NA,NA,11831.87109,18820.12695,,0.100971695,0.063479066,0.109043793
162,1,New Zealand,Oceania,NA,NA,NA,20003.79492,NA,NA,NA,55182.23438,NA,NA,NA,57772.5,267539.25,,0.346251156,0.074769571,0.206258463
163,1,Nicaragua,North America,NA,NA,NA,26973.10352,NA,NA,NA,52385.73047,NA,NA,NA,70139.28125,128041.5,,0.384564869,0.210659072,0.409130871
164,1,Niger,Africa,NA,NA,NA,61943.8125,NA,NA,NA,142655.0938,NA,NA,NA,160253.0313,1180926.375,,0.38653754,0.052453577,0.120799312
165,1,Nigeria,Africa,NA,NA,NA,240227.6563,NA,NA,NA,776099.125,NA,NA,NA,304813.75,908259.4375,,0.788112926,0.264492332,0.854490571
167,1,Norfolk Island,Oceania,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,6.800925255,48.87251282,,0,0,0
168,1,North Korea,Asia,NA,NA,NA,58797.46094,NA,NA,NA,112063.2031,NA,NA,NA,62483.17188,121701.9922,,0.941012743,0.483126528,0.920800071
169,1,Northern Mariana Islands,Oceania,NA,NA,NA,21.03635979,NA,NA,NA,135.208252,NA,NA,NA,27.99502945,236.8893433,,0.751431958,0.088802474,0.570765447
170,1,Norway,Europe,NA,NA,NA,34373.44531,NA,NA,NA,61215.66016,NA,NA,NA,93917.02344,318285.25,,0.365998027,0.107995722,0.192329554
171,1,Oman,Asia,NA,NA,NA,6667.146973,NA,NA,NA,49889.3125,NA,NA,NA,9062.691406,308266.5,,0.735669645,0.021627867,0.161838255
172,1,Pacific Islands (Palau),Oceania,NA,NA,NA,182.0159454,NA,NA,NA,230.0514069,NA,NA,NA,236.289505,352.2191772,,0.770309055,0.516768981,0.653148442
173,1,Pakistan,Asia,NA,NA,NA,119599.1875,NA,NA,NA,472747.2188,NA,NA,NA,190434.3438,874335.375,,0.62803371,0.136788686,0.540693231
174,1,Panama,South America,NA,NA,NA,8846.932617,NA,NA,NA,24908.87891,NA,NA,NA,33199.99609,74054.83594,,0.266473905,0.119464617,0.336357222
175,1,Papua New Guinea,Oceania,NA,NA,NA,14110.72852,NA,NA,NA,26362.16602,NA,NA,NA,271493.6563,461795.875,,0.051974432,0.030556203,0.057086188
